exp;date;time;slurry;pH
23H;230517;1221;D;8.43
23H;230517;1221;D;8.48
23H;230517;1221;D;8.88
23H;230517;1221;B;8.49
23H;230517;1221;B;8.56
23H;230517;1221;B;8.51
23H;230517;1221;E;8.53
23H;230517;1221;E;8.61
23H;230517;1221;E;8.55
23H;230517;1221;F;8.5
23H;230517;1221;F;8.51
23H;230517;1221;F;8.48
23H;230517;1221;A;8.44
23H;230517;1221;A;8.57
23H;230517;1221;A;8.51
23H;230517;1421;D;8.36
23H;230517;1421;D;8.33
23H;230517;1421;D;8.25
23H;230517;1421;B;8.34
23H;230517;1421;B;8.35
23H;230517;1421;B;8.38
23H;230517;1421;E;8.41
23H;230517;1421;E;8.58
23H;230517;1421;E;8.56
23H;230517;1421;F;8.48
23H;230517;1421;F;8.37
23H;230517;1421;F;8.48
23H;230517;1421;A;8.46
23H;230517;1421;A;8.37
23H;230517;1421;A;8.4
23G;230517;1101;A;8.22
23G;230517;1101;A;8.72
23G;230517;1101;A;8.43
23G;230517;1101;B;8.55
23G;230517;1101;B;8.75
23G;230517;1101;B;8.64
23G;230517;1101;B sep;8.29
23G;230517;1101;B sep;7.76
23G;230517;1101;B sep;7.95
23G;230517;1101;C;7.88
23G;230517;1101;C;7.79
23G;230517;1101;C;8.51
23G;230517;1101;C sep;7.43
23G;230517;1101;C sep;7.05
23G;230517;1101;C sep;7.35
23G;230512;821;A;8.59
23G;230512;821;A;8.79
23G;230512;821;A;8.71
23G;230512;821;B;8.47
23G;230512;821;B;8.77
23G;230512;821;B;8.82
23G;230512;821;B sep;8.64
23G;230512;821;B sep;8.55
23G;230512;821;B sep;8.24
23G;230512;821;C;8.24
23G;230512;821;C;8.21
23G;230512;821;C;8.1
23G;230512;821;C sep;7.99
23G;230512;821;C sep;8.12
23G;230512;821;C sep;8.06
23G;230515;840;A;8.95
23G;230515;840;A;9.36
23G;230515;840;A;8.86
23G;230515;840;B;8.59
23G;230515;840;B;8.78
23G;230515;840;B;8.66
23G;230515;840;B sep;8.19
23G;230515;840;B sep;7.88
23G;230515;840;B sep;7.7
23G;230515;840;C;8.11
23G;230515;840;C;8.13
23G;230515;840;C;7.9
23G;230515;840;C sep;7.54
23G;230515;840;C sep;8.03
23G;230515;840;C sep;7.44
23H;230517;1018;D;8.05
23H;230517;1018;D;8.12
23H;230517;1018;D;8.2
23H;230517;1018;B;8.85
23H;230517;1018;B;8.74
23H;230517;1018;B;8.63
23H;230517;1018;E;8.25
23H;230517;1018;E;8.19
23H;230517;1018;E;8.27
23H;230517;1018;F;8.47
23H;230517;1018;F;8.33
23H;230517;1018;F;8.29
23H;230517;1018;A;8.1
23H;230517;1018;A;8.12
23H;230517;1018;A;8.14
23H;230517;1032;D;8.09
23H;230517;1032;D;8.18
23H;230517;1032;D;8.17
23H;230517;1032;B;8.32
23H;230517;1032;B;8.39
23H;230517;1032;B;8.37
23H;230517;1032;E;8.34
23H;230517;1032;E;8.23
23H;230517;1032;E;8.27
23H;230517;1032;F;8.87
23H;230517;1032;F;8.62
23H;230517;1032;F;8.57
23H;230517;1032;A;8.36
23H;230517;1032;A;8.35
23H;230517;1032;A;8.29
23H;230517;1048;D;8.31
23H;230517;1048;D;8.36
23H;230517;1048;D;8.36
23H;230517;1048;B;8.39
23H;230517;1048;B;8.35
23H;230517;1048;B;8.45
23H;230517;1048;E;8.45
23H;230517;1048;E;8.48
23H;230517;1048;E;8.44
23H;230517;1048;F;8.34
23H;230517;1048;F;8.08
23H;230517;1048;F;8.28
23H;230517;1048;A;8.46
23H;230517;1048;A;8.4
23H;230517;1048;A;8.35
23H;230517;1120;D;8.37
23H;230517;1120;D;8.42
23H;230517;1120;D;8.39
23H;230517;1120;B;8.48
23H;230517;1120;B;8.45
23H;230517;1120;B;8.44
23H;230517;1120;E;8.54
23H;230517;1120;E;8.5
23H;230517;1120;E;8.41
23H;230517;1120;F;8.61
23H;230517;1120;F;8.51
23H;230517;1120;F;8.53
23H;230517;1120;A;8.41
23H;230517;1120;A;8.35
23H;230517;1120;A;8.37
23G;230510;1045;A;7.6
23G;230510;1045;A;7.62
23G;230510;1045;A;7.7
23G;230510;1045;B;8.1
23G;230510;1045;B;8.13
23G;230510;1045;B;8.15
23G;230510;1045;B sep;8.05
23G;230510;1045;B sep;7.88
23G;230510;1045;B sep;7.98
23G;230510;1045;C;8.5
23G;230510;1045;C;8.41
23G;230510;1045;C;8.28
23G;230510;1045;C sep;8.09
23G;230510;1045;C sep;8.09
23G;230510;1045;C sep;8.18
23G;230510;1101;B sep;8.15
23G;230510;1101;B sep;8.26
23G;230510;1101;B sep;8.13
23G;230510;1101;C;8.4
23G;230510;1101;C;8.28
23G;230510;1101;C;8.36
23G;230510;1101;C sep;8.2
23G;230510;1101;C sep;8.09
23G;230510;1101;C sep;7.93
23G;230510;1101;A;8.19
23G;230510;1101;A;8.18
23G;230510;1101;A;8.24
23G;230510;1101;B;8.29
23G;230510;1101;B;8.23
23G;230510;1101;B;8.26
23G;230510;1645;A;8.63
23G;230510;1645;A;8.71
23G;230510;1645;A;8.75
23G;230510;1645;B;8.39
23G;230510;1645;B;8.55
23G;230510;1645;B;8.37
23G;230510;1645;B sep;8.34
23G;230510;1645;B sep;8.45
23G;230510;1645;B sep;8.46
23G;230510;1645;C;8.13
23G;230510;1645;C;8.74
23G;230510;1645;C;7.91
23G;230510;1645;C sep;7.97
23G;230510;1645;C sep;8.18
23G;230510;1645;C sep;7.78
23G;230510;1245;A;8.25
23G;230510;1245;A;8.38
23G;230510;1245;A;8.19
23G;230510;1245;B;8.24
23G;230510;1245;B;8.26
23G;230510;1245;B;8.21
23G;230510;1245;B sep;8.19
23G;230510;1245;B sep;8.26
23G;230510;1245;B sep;8.28
23G;230510;1245;C;8.45
23G;230510;1245;C;8.36
23G;230510;1245;C;8.48
23G;230510;1245;C sep;8.55
23G;230510;1245;C sep;8.39
23G;230510;1245;C sep;8
23G;230510;1442;A;8.69
23G;230510;1442;A;8.57
23G;230510;1442;A;8.65
23G;230510;1442;B;8.1
23G;230510;1442;B;8.23
23G;230510;1442;B;8.24
23G;230510;1442;B sep;8.21
23G;230510;1442;B sep;8.3
23G;230510;1442;B sep;8.33
23G;230510;1442;C;7.67
23G;230510;1442;C;7.95
23G;230510;1442;C;7.82
23G;230510;1442;C sep;8.31
23G;230510;1442;C sep;8.5
23G;230510;1442;C sep;7.72
23G;230510;1116;A;8.15
23G;230510;1116;A;8.21
23G;230510;1116;A;8.16
23G;230510;1116;B;8.2
23G;230510;1116;B;8.29
23G;230510;1116;B;8.33
23G;230510;1116;B sep;8.28
23G;230510;1116;B sep;8.31
23G;230510;1116;B sep;8.23
23G;230510;1116;C;8.34
23G;230510;1116;C;8.37
23G;230510;1116;C;8.35
23G;230510;1116;C sep;8.24
23G;230510;1116;C sep;8.37
23G;230510;1116;C sep;8.35
23G;230510;1145;A;8.11
23G;230510;1145;A;8.2
23G;230510;1145;A;8.23
23G;230510;1145;B;8.19
23G;230510;1145;B;8.29
23G;230510;1145;B;8.3
23G;230510;1145;B sep;8.39
23G;230510;1145;B sep;8.22
23G;230510;1145;B sep;8.27
23G;230510;1145;C;8.45
23G;230510;1145;C;8.33
23G;230510;1145;C;8.26
23G;230510;1145;C sep;8.31
23G;230510;1145;C sep;8.37
23G;230510;1145;C sep;8.39
23I;230524;1525;I;8
23I;230524;1525;I;8.59
23I;230524;1525;I;8.43
23I;230524;1525;G;8.5
23I;230524;1525;G;9.18
23I;230524;1525;G;8.52
23I;230524;1525;H;8.53
23I;230524;1525;H;8.74
23I;230524;1525;H;8.63
23I;230524;1525;C;8.15
23I;230524;1525;C;8.02
23I;230524;1525;C;8.09
23I;230524;1525;A;8.43
23I;230524;1525;A;8.49
23I;230524;1525;A;8.31
23I;230526;1100;I;8.12
23I;230526;1100;I;7.55
23I;230526;1100;I;7.69
23I;230526;1100;G;8.01
23I;230526;1100;G;8.13
23I;230526;1100;G;8.22
23I;230526;1100;H;8.49
23I;230526;1100;H;9.19
23I;230526;1100;H;9.37
23I;230526;1100;C;8.1
23I;230526;1100;C;7.66
23I;230526;1100;C;7.52
23I;230526;1100;A;9.25
23I;230526;1100;A;8.8
23I;230526;1100;A;8.54
23I;230524;925;I;7.82
23I;230524;925;I;7.87
23I;230524;925;I;7.89
23I;230524;925;G;7.92
23I;230524;925;G;7.81
23I;230524;925;G;7.85
23I;230524;925;H;8.3
23I;230524;925;H;8.34
23I;230524;925;H;8.37
23I;230524;925;C;8.14
23I;230524;925;C;8.17
23I;230524;925;C;8.17
23I;230524;925;A;8.15
23I;230524;925;A;8.17
23I;230524;925;A;8.19
23I;230524;940;I;8.21
23I;230524;940;I;8.11
23I;230524;940;I;8.15
23I;230524;940;G;8.19
23I;230524;940;G;8.43
23I;230524;940;G;8.28
23I;230524;940;H;8.39
23I;230524;940;H;8.37
23I;230524;940;H;8.36
23I;230524;940;C;8.26
23I;230524;940;C;8.19
23I;230524;940;C;8.26
23I;230524;940;A;8.27
23I;230524;940;A;8.26
23I;230524;940;A;8.25
23I;230524;1055;I;8.36
23I;230524;1055;I;8.3
23I;230524;1055;I;8.33
23I;230524;1055;G;8.27
23I;230524;1055;G;8.41
23I;230524;1055;G;8.46
23I;230524;1055;H;8.54
23I;230524;1055;H;8.52
23I;230524;1055;H;8.55
23I;230524;1055;C;8.32
23I;230524;1055;C;8.21
23I;230524;1055;C;8.38
23I;230524;1055;A;8.32
23I;230524;1055;A;8.32
23I;230524;1055;A;8.34
23I;230524;1125;I;8.13
23I;230524;1125;I;8.24
23I;230524;1125;I;8.41
23I;230524;1125;G;8.38
23I;230524;1125;G;8.45
23I;230524;1125;G;8.15
23I;230524;1125;H;8.39
23I;230524;1125;H;8.35
23I;230524;1125;H;8.45
23I;230524;1125;C;8.36
23I;230524;1125;C;8.18
23I;230524;1125;C;8.28
23I;230524;1125;A;8.56
23I;230524;1125;A;8.29
23I;230524;1125;A;8.31
23I;230524;1325;I;8.18
23I;230524;1325;I;8.39
23I;230524;1325;I;8.22
23I;230524;1325;G;8.27
23I;230524;1325;G;8.48
23I;230524;1325;G;8.49
23I;230524;1325;H;8.46
23I;230524;1325;H;8.37
23I;230524;1325;H;8.32
23I;230524;1325;C;8.29
23I;230524;1325;C;8.19
23I;230524;1325;C;8.24
23I;230524;1325;A;8.26
23I;230524;1325;A;8.27
23I;230524;1325;A;8.27
23I;230524;1525;I;8.52
23I;230524;1525;I;8.45
23I;230524;1525;I;8.19
23I;230524;1525;G;8.45
23I;230524;1525;G;8.49
23I;230524;1525;G;8.48
23I;230524;1525;H;8.31
23I;230524;1525;H;8.33
23I;230524;1525;H;8.39
23I;230524;1525;C;8.18
23I;230524;1525;C;8.31
23I;230524;1525;C;8.6
23I;230524;1525;A;8.25
23I;230524;1525;A;8.3
23I;230524;1525;A;8.3
23H;230517;1620;D;8.45
23H;230517;1620;D;8.48
23H;230517;1620;D;8.47
23H;230517;1620;B;8.36
23H;230517;1620;B;8.5
23H;230517;1620;B;8.26
23H;230517;1620;E;8.72
23H;230517;1620;E;8.78
23H;230517;1620;E;8.74
23H;230517;1620;F;8.42
23H;230517;1620;F;8.72
23H;230517;1620;F;8.63
23H;230517;1620;A;8.52
23H;230517;1620;A;8.64
23H;230517;1620;A;8.59
23H;230519;1210;D;8.48
23H;230519;1210;D;9.01
23H;230519;1210;D;8.89
23H;230519;1210;B;8.79
23H;230519;1210;B;9.05
23H;230519;1210;B;8.82
23H;230519;1210;E;9.81
23H;230519;1210;E;9.92
23H;230519;1210;E;10.15
23H;230519;1210;F;8.91
23H;230519;1210;F;9.26
23H;230519;1210;F;9.14
23H;230519;1210;A;8.72
23H;230519;1210;A;9.04
23H;230519;1210;A;8.93
23H;230522;900;D;7.89
23H;230522;900;D;8.06
23H;230522;900;D;8.13
23H;230522;900;B;8.8
23H;230522;900;B;8.84
23H;230522;900;B;8.66
23H;230522;900;E;9.89
23H;230522;900;E;10.03
23H;230522;900;E;9.87
23H;230522;900;F;9.24
23H;230522;900;F;9.69
23H;230522;900;F;9.3
23H;230522;900;A;8.95
23H;230522;900;A;9.61
23H;230522;900;A;9.28
23H;230524;1130;D;7.71
23H;230524;1130;D;7.5
23H;230524;1130;D;7.45
23H;230524;1130;B;9.27
23H;230524;1130;B;9.05
23H;230524;1130;B;9.29
23H;230524;1130;E;10.06
23H;230524;1130;E;9.54
23H;230524;1130;E;10.03
23H;230524;1130;F;8.7
23H;230524;1130;F;8.42
23H;230524;1130;F;9.56
23H;230524;1130;A;9.01
23H;230524;1130;A;9.18
23H;230524;1130;A;9.62
23I;230528;2300;I;8.19
23I;230528;2300;I;7.35
23I;230528;2300;I;7.7
23I;230528;2300;G;8.51
23I;230528;2300;G;8.54
23I;230528;2300;G;8.75
23I;230528;2300;H;8.21
23I;230528;2300;H;8.52
23I;230528;2300;H;8.25
23I;230528;2300;C;8.58
23I;230528;2300;C;7.52
23I;230528;2300;C;7.1
23I;230528;2300;A;8.63
23I;230528;2300;A;8.6
23I;230528;2300;A;8.86
23I;230531;900;I;7.89
23I;230531;900;I;8.4
23I;230531;900;I;8.1
23I;230531;900;G;8.19
23I;230531;900;G;8.71
23I;230531;900;G;9.48
23I;230531;900;H;8.55
23I;230531;900;H;8.62
23I;230531;900;H;9.81
23I;230531;900;C;7.86
23I;230531;900;C;7.74
23I;230531;900;C;8.55
23I;230531;900;A;9.42
23I;230531;900;A;8.71
23I;230531;900;A;9.41
24E;240403;1640;A;8.05
24E;240403;1640;A;8.28
24E;240403;1640;A;8.21
24E;240403;1640;D;8.4
24E;240403;1640;D;8.37
24E;240403;1640;D;8.37
24E;240403;1640;H;8.43
24E;240403;1640;H;8.42
24E;240403;1640;H;8.41
24E;240403;1640;PigA;8.19
24E;240403;1640;PigA;8.01
24E;240403;1640;PigA;8.2
24E;240403;1640;CattleA;8.36
24E;240403;1640;CattleA;8.24
24E;240403;1640;CattleA;8.25
24E;240403;1440;A;8.35
24E;240403;1440;A;8.34
24E;240403;1440;A;8.3
24E;240403;1440;D;8.39
24E;240403;1440;D;8.44
24E;240403;1440;D;8.35
24E;240403;1440;H;8.47
24E;240403;1440;H;8.39
24E;240403;1440;H;8.37
24E;240403;1440;PigA;8.24
24E;240403;1440;PigA;8.18
24E;240403;1440;PigA;8.23
24E;240403;1440;CattleA;8.29
24E;240403;1440;CattleA;8.23
24E;240403;1440;CattleA;8.18
24E;240403;1241;A;8.46
24E;240403;1241;A;8.44
24E;240403;1241;A;8.35
24E;240403;1241;D;8.54
24E;240403;1241;D;8.53
24E;240403;1241;D;8.51
24E;240403;1241;H;8.51
24E;240403;1241;H;8.32
24E;240403;1241;H;8.33
24E;240403;1241;PigA;8.28
24E;240403;1241;PigA;8.27
24E;240403;1241;PigA;8.16
24E;240403;1241;CattleA;8.27
24E;240403;1241;CattleA;8.38
24E;240403;1241;CattleA;8.36
24E;240403;1144;A;8.33
24E;240403;1144;A;8.39
24E;240403;1144;A;8.24
24E;240403;1144;D;8.28
24E;240403;1144;D;8.32
24E;240403;1144;D;8.35
24E;240403;1144;H;8.24
24E;240403;1144;H;8.41
24E;240403;1144;H;8.37
24E;240403;1144;PigA;8.3
24E;240403;1144;PigA;8.28
24E;240403;1144;PigA;8.27
24E;240403;1144;CattleA;8.27
24E;240403;1144;CattleA;8.33
24E;240403;1144;CattleA;8.25
24E;240403;1110;A;8.33
24E;240403;1110;A;8.51
24E;240403;1110;A;8.52
24E;240403;1110;D;8.39
24E;240403;1110;D;8.51
24E;240403;1110;D;8.42
24E;240403;1110;H;8.42
24E;240403;1110;H;8.44
24E;240403;1110;H;8.33
24E;240403;1110;PigA;8.21
24E;240403;1110;PigA;8.19
24E;240403;1110;PigA;8.14
24E;240403;1110;CattleA;8.29
24E;240403;1110;CattleA;8.23
24E;240403;1110;CattleA;8.25
24E;240403;1157;A;8.38
24E;240403;1157;A;8.41
24E;240403;1157;A;8.36
24E;240403;1157;D;8.41
24E;240403;1157;D;8.43
24E;240403;1157;D;8.42
24E;240403;1157;H;8.73
24E;240403;1157;H;8.36
24E;240403;1157;H;8.23
24E;240403;1157;PigA;8.03
24E;240403;1157;PigA;8.08
24E;240403;1157;PigA;8.11
24E;240403;1157;CattleA;8.43
24E;240403;1157;CattleA;8.22
24E;240403;1157;CattleA;8.2
24E;240403;1040;A;8.23
24E;240403;1040;A;8.28
24E;240403;1040;A;8.42
24E;240403;1040;D;8.35
24E;240403;1040;D;8.35
24E;240403;1040;D;8.37
24E;240403;1040;H;7.57
24E;240403;1040;H;8.11
24E;240403;1040;H;8.19
24E;240403;1040;PigA;8.03
24E;240403;1040;PigA;8.16
24E;240403;1040;PigA;8.17
24E;240403;1040;CattleA;7.61
24E;240403;1040;CattleA;7.67
24E;240403;1040;CattleA;7.44
24E;240405;0900;A;8.18
24E;240405;0900;A;8.22
24E;240405;0900;A;8.32
24E;240405;0900;D;8.18
24E;240405;0900;D;8.36
24E;240405;0900;D;8.32
24E;240405;0900;H;8.32
24E;240405;0900;H;8.24
24E;240405;0900;H;8.33
24E;240405;0900;PigA;7.78
24E;240405;0900;PigA;7.94
24E;240405;0900;PigA;7.97
24E;240405;0900;CattleA;8.18
24E;240405;0900;CattleA;8.23
24E;240405;0900;CattleA;8.28
24E;240408;1100;A;7.14
24E;240408;1100;A;7.47
24E;240408;1100;A;7.67
24E;240408;1100;D;7.44
24E;240408;1100;D;7.43
24E;240408;1100;D;7.09
24E;240408;1100;H;7.55
24E;240408;1100;H;7.56
24E;240408;1100;H;7.68
24E;240408;1100;PigA;8.36
24E;240408;1100;PigA;8.18
24E;240408;1100;PigA;8.09
24E;240408;1100;CattleA;8.74
24E;240408;1100;CattleA;8.83
24E;240408;1100;CattleA;9.05
24E;240410;1052;A;7.68
24E;240410;1052;A;7.64
24E;240410;1052;A;7.53
24E;240410;1052;D;7.94
24E;240410;1052;D;7.8
24E;240410;1052;D;7.65
24E;240410;1052;H;7.76
24E;240410;1052;H;7.82
24E;240410;1052;H;7.86
24E;240410;1052;PigA;7.72
24E;240410;1052;PigA;7.64
24E;240410;1052;PigA;7.61
24E;240410;1052;CattleA;8.08
24E;240410;1052;CattleA;7.51
24E;240410;1052;CattleA;8.06
24F;240417;0915;A;7.71
24F;240417;0915;A;7.23
24F;240417;0915;A;6.86
24F;240417;0915;G;6.23
24F;240417;0915;G;6.2
24F;240417;0915;G;6.5
24F;240417;0915;C;7.08
24F;240417;0915;C;7.03
24F;240417;0915;C;6.18
24F;240417;0915;CattleB;8.94
24F;240417;0915;CattleB;8.97
24F;240417;0915;CattleB;8.96
24F;240417;0915;PigB;6.78
24F;240417;0915;PigB;6.67
24F;240417;0915;PigB;6.9
24F;240415;1130;A;7.19
24F;240415;1130;A;7.38
24F;240415;1130;A;7.68
24F;240415;1130;G;7.4
24F;240415;1130;G;7.48
24F;240415;1130;G;7.28
24F;240415;1130;C;7.62
24F;240415;1130;C;7.53
24F;240415;1130;C;7.14
24F;240415;1130;CattleB;9.07
24F;240415;1130;CattleB;9.16
24F;240415;1130;CattleB;9.02
24F;240415;1130;PigB;6.71
24F;240415;1130;PigB;6.56
24F;240415;1130;PigB;6.82
24F;240412;1300;A;8.08
24F;240412;1300;A;7.74
24F;240412;1300;A;8.04
24F;240412;1300;G;7.64
24F;240412;1300;G;7.45
24F;240412;1300;G;7.62
24F;240412;1300;C;7.73
24F;240412;1300;C;7.58
24F;240412;1300;C;7.89
24F;240412;1300;CattleB;9.08
24F;240412;1300;CattleB;8.95
24F;240412;1300;CattleB;8.82
24F;240412;1300;PigB;6.14
24F;240412;1300;PigB;6.23
24F;240412;1300;PigB;6.29
24F;240410;1520;A;8.35
24F;240410;1520;A;8.2
24F;240410;1520;A;8.22
24F;240410;1520;G;8.21
24F;240410;1520;G;8.33
24F;240410;1520;G;8.18
24F;240410;1520;C;8.06
24F;240410;1520;C;8.16
24F;240410;1520;C;8.15
24F;240410;1520;CattleB;7.94
24F;240410;1520;CattleB;8.05
24F;240410;1520;CattleB;8.04
24F;240410;1520;PigB;6.52
24F;240410;1520;PigB;6.97
24F;240410;1520;PigB;7.6
24F;240410;1311;A;8.25
24F;240410;1311;A;8.12
24F;240410;1311;A;8.14
24F;240410;1311;G;7.94
24F;240410;1311;G;7.88
24F;240410;1311;G;8.05
24F;240410;1311;C;8.07
24F;240410;1311;C;8.09
24F;240410;1311;C;8.14
24F;240410;1311;CattleB;7.78
24F;240410;1311;CattleB;7.94
24F;240410;1311;CattleB;7.8
24F;240410;1311;PigB;6.92
24F;240410;1311;PigB;7.26
24F;240410;1311;PigB;6.93
24F;240410;1122;A;8.27
24F;240410;1122;A;8.23
24F;240410;1122;A;8.19
24F;240410;1122;G;8.09
24F;240410;1122;G;8.16
24F;240410;1122;G;8.13
24F;240410;1122;C;8.15
24F;240410;1122;C;8.13
24F;240410;1122;C;8.14
24F;240410;1122;CattleB;8.2
24F;240410;1122;CattleB;8.16
24F;240410;1122;CattleB;8.15
24F;240410;1122;PigB;6.82
24F;240410;1122;PigB;7.08
24F;240410;1122;PigB;7.05
24F;240410;0924;A;8.08
24F;240410;0924;A;8.11
24F;240410;0924;A;8.1
24F;240410;0924;G;8.11
24F;240410;0924;G;7.97
24F;240410;0924;G;7.92
24F;240410;0924;C;8.26
24F;240410;0924;C;8.27
24F;240410;0924;C;8.21
24F;240410;0924;CattleB;8.01
24F;240410;0924;CattleB;7.96
24F;240410;0924;CattleB;7.85
24F;240410;0924;PigB;7.32
24F;240410;0924;PigB;7.34
24F;240410;0924;PigB;7.3
24F;240410;0906;A;8.09
24F;240410;0906;A;8.07
24F;240410;0906;A;8.11
24F;240410;0906;G;7.95
24F;240410;0906;G;7.93
24F;240410;0906;G;7.91
24F;240410;0906;C;8.22
24F;240410;0906;C;8.26
24F;240410;0906;C;8.25
24F;240410;0906;CattleB;7.26
24F;240410;0906;CattleB;7.3
24F;240410;0906;CattleB;7.23
24F;240410;0906;PigB;6.92
24F;240410;0906;PigB;6.95
24F;240410;0906;PigB;6.93
24G;240422;0900;A;7.39
24G;240422;0900;A;7.16
24G;240422;0900;A;7.24
24G;240422;0900;B;7.97
24G;240422;0900;B;7.96
24G;240422;0900;B;8.18
24G;240422;0900;E;8.56
24G;240422;0900;E;8.28
24G;240422;0900;E;8.49
24G;240422;0900;CattleC;9.03
24G;240422;0900;CattleC;9.2
24G;240422;0900;CattleC;9.23
24G;240422;0900;PigC;6.48
24G;240422;0900;PigC;6.33
24G;240422;0900;PigC;5.75
24G;240419;1335;A;8.03
24G;240419;1335;A;7.87
24G;240419;1335;A;8.14
24G;240419;1335;B;8.83
24G;240419;1335;B;8.7
24G;240419;1335;B;8.38
24G;240419;1335;E;8.71
24G;240419;1335;E;8.89
24G;240419;1335;E;8.8
24G;240419;1335;CattleC;8.42
24G;240419;1335;CattleC;8.49
24G;240419;1335;CattleC;8.24
24G;240419;1335;PigC;6.27
24G;240419;1335;PigC;6.08
24G;240419;1335;PigC;5.81
24G;240417;1555;A;8.5
24G;240417;1555;A;8.47
24G;240417;1555;A;8.54
24G;240417;1555;B;8.3
24G;240417;1555;B;8.39
24G;240417;1555;B;8.38
24G;240417;1555;E;8.36
24G;240417;1555;E;8.33
24G;240417;1555;E;8.34
24G;240417;1555;CattleC;7.96
24G;240417;1555;CattleC;7.94
24G;240417;1555;CattleC;7.93
24G;240417;1555;PigC;5.86
24G;240417;1555;PigC;5.69
24G;240417;1555;PigC;5.5
24G;240417;1347;A;8.75
24G;240417;1347;A;8.62
24G;240417;1347;A;8.7
24G;240417;1347;B;8.39
24G;240417;1347;B;8.44
24G;240417;1347;B;8.37
24G;240417;1347;E;8.47
24G;240417;1347;E;8.49
24G;240417;1347;E;8.41
24G;240417;1347;CattleC;8.08
24G;240417;1347;CattleC;8
24G;240417;1347;CattleC;7.98
24G;240417;1347;PigC;5.91
24G;240417;1347;PigC;6.1
24G;240417;1347;PigC;6.16
24G;240417;0948;A;7.73
24G;240417;0948;A;7.78
24G;240417;0948;A;7.8
24G;240417;0948;B;8.34
24G;240417;0948;B;8.37
24G;240417;0948;B;8.32
24G;240417;0948;E;7.95
24G;240417;0948;E;7.9
24G;240417;0948;E;7.88
24G;240417;0948;CattleC;6.81
24G;240417;0948;CattleC;6.79
24G;240417;0948;CattleC;6.76
24G;240417;0948;PigC;6.13
24G;240417;0948;PigC;6.04
24G;240417;0948;PigC;6.03
24G;240417;1157;A;8.19
24G;240417;1157;A;8.17
24G;240417;1157;A;8.21
24G;240417;1157;B;8.23
24G;240417;1157;B;8.28
24G;240417;1157;B;8.28
24G;240417;1157;E;8.3
24G;240417;1157;E;8.25
24G;240417;1157;E;8.24
24G;240417;1157;CattleC;7.94
24G;240417;1157;CattleC;7.95
24G;240417;1157;CattleC;7.97
24G;240417;1157;PigC;5.98
24G;240417;1157;PigC;6.16
24G;240417;1157;PigC;6.15
24G;240417;1051;A;7.96
24G;240417;1051;A;7.94
24G;240417;1051;A;8.06
24G;240417;1051;B;8.32
24G;240417;1051;B;8.28
24G;240417;1051;B;8.27
24G;240417;1051;E;7.85
24G;240417;1051;E;7.87
24G;240417;1051;E;7.88
24G;240417;1051;CattleC;7.88
24G;240417;1051;CattleC;7.97
24G;240417;1051;CattleC;7.9
24G;240417;1051;PigC;6.44
24G;240417;1051;PigC;6.22
24G;240417;1051;PigC;6.23
24G;240417;1008;A;7.97
24G;240417;1008;A;7.99
24G;240417;1008;A;8.01
24G;240417;1008;B;8.44
24G;240417;1008;B;8.43
24G;240417;1008;B;8.4
24G;240417;1008;E;8.08
24G;240417;1008;E;8.13
24G;240417;1008;E;8.11
24G;240417;1008;CattleC;7.95
24G;240417;1008;CattleC;7.84
24G;240417;1008;CattleC;7.86
24G;240417;1008;PigC;6.36
24G;240417;1008;PigC;6.31
24G;240417;1008;PigC;6.32
24G;240417;1020;A;7.93
24G;240417;1020;A;8.01
24G;240417;1020;A;8
24G;240417;1020;B;8.37
24G;240417;1020;B;8.41
24G;240417;1020;B;8.26
24G;240417;1020;E;8.08
24G;240417;1020;E;8.11
24G;240417;1020;E;8.1
24G;240417;1020;CattleC;7.9
24G;240417;1020;CattleC;7.8
24G;240417;1020;CattleC;7.84
24G;240417;1020;PigC;6.35
24G;240417;1020;PigC;6.23
24G;240417;1020;PigC;6.25
24G;240424;1000;A;7.08
24G;240424;1000;A;6.96
24G;240424;1000;A;6.9
24G;240424;1000;B;7.74
24G;240424;1000;B;7.73
24G;240424;1000;B;7.77
24G;240424;1000;E;7.88
24G;240424;1000;E;7.91
24G;240424;1000;E;7.9
24G;240424;1000;CattleC;8.75
24G;240424;1000;CattleC;8.8
24G;240424;1000;CattleC;8.71
24G;240424;1000;PigC;6.63
24G;240424;1000;PigC;6.75
24G;240424;1000;PigC;6.18
